course,rank,term,score
data-engineering-zoomcamp,1,spark,0.081
data-engineering-zoomcamp,2,kestra,0.0806
data-engineering-zoomcamp,3,postgres,0.0763
data-engineering-zoomcamp,4,parquet,0.0735
data-engineering-zoomcamp,5,job,0.0704
data-engineering-zoomcamp,6,sql,0.0695
data-engineering-zoomcamp,7,volume,0.0686
data-engineering-zoomcamp,8,gcs,0.0681
data-engineering-zoomcamp,9,postgresql,0.0676
data-engineering-zoomcamp,10,service account,0.066
data-engineering-zoomcamp,11,branch,0.0648
data-engineering-zoomcamp,12,timestamp,0.0642
data-engineering-zoomcamp,13,java,0.0635
data-engineering-zoomcamp,14,gcp,0.0613
data-engineering-zoomcamp,15,mount,0.0589
data-engineering-zoomcamp,16,core,0.0569
data-engineering-zoomcamp,17,profiles,0.0559
data-engineering-zoomcamp,18,resource,0.0559
data-engineering-zoomcamp,19,pyspark,0.0559
data-engineering-zoomcamp,20,var,0.0559
data-engineering-zoomcamp,21,cluster,0.0547
data-engineering-zoomcamp,22,parquet files,0.0547
data-engineering-zoomcamp,23,bind,0.0547
data-engineering-zoomcamp,24,init,0.0535
data-engineering-zoomcamp,25,engine,0.0535
data-engineering-zoomcamp,26,staging,0.0535
data-engineering-zoomcamp,27,appears,0.0522
data-engineering-zoomcamp,28,jobs,0.0522
data-engineering-zoomcamp,29,engineering,0.0522
data-engineering-zoomcamp,30,paste,0.0522
data-engineering-zoomcamp,31,8080,0.0522
data-engineering-zoomcamp,32,secrets,0.0522
data-engineering-zoomcamp,33,setup,0.0509
data-engineering-zoomcamp,34,venv,0.0507
data-engineering-zoomcamp,35,paths,0.0507
data-engineering-zoomcamp,36,connector,0.0507
data-engineering-zoomcamp,37,dev,0.0507
data-engineering-zoomcamp,38,subfolder,0.0507
data-engineering-zoomcamp,39,transformations,0.0507
data-engineering-zoomcamp,40,homebrew,0.0507
data-engineering-zoomcamp,41,environments,0.0507
data-engineering-zoomcamp,42,data engineering,0.0507
data-engineering-zoomcamp,43,compose yml,0.0507
data-engineering-zoomcamp,44,vpn,0.0507
data-engineering-zoomcamp,45,5432,0.0491
data-engineering-zoomcamp,46,seed,0.0491
data-engineering-zoomcamp,47,merge,0.0491
data-engineering-zoomcamp,48,inspect,0.0491
data-engineering-zoomcamp,49,current cohort,0.0491
data-engineering-zoomcamp,50,level,0.0491
llm-zoomcamp,1,vectors,0.1043
llm-zoomcamp,2,llm,0.1031
llm-zoomcamp,3,gemini,0.0909
llm-zoomcamp,4,mcp,0.0902
llm-zoomcamp,5,notebook cell,0.0877
llm-zoomcamp,6,await,0.0859
llm-zoomcamp,7,alternatives,0.0828
llm-zoomcamp,8,embedding,0.0828
llm-zoomcamp,9,ground,0.0817
llm-zoomcamp,10,quota,0.0792
llm-zoomcamp,11,characters,0.0792
llm-zoomcamp,12,agents,0.0792
llm-zoomcamp,13,credits,0.0778
